id,nom,chemin,type,niveau,theme,notion,sequence_possible,statut,qualite,reutilisable,a_refondre,commentaire,source,audience,publishable,copie_dans_banques,evidence_category,hash,symlink
I01-rvw-responses,rvw_responses.md,docs/rvw_responses.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,250ee3ae468d4d547f0e710286725c25bb7eb114062ad81381afe16fc7932c2f,non
I01-source-archive-policy,source_archive_policy.md,docs/source_archive_policy.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,8a2ee6fcca3ab6175cef3e758308e0be40bc3956630a1577dc28c64822064f89,non
I01-drive-inventory,drive_inventory.csv,drive_inventory.csv,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,79b9fc1a9e89966ef6a8677936d420ca052918a5addc5b767ffdf4dd88d2f31e,non
I01-drive-mapping,drive_mapping.md,drive_mapping.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,949649c7384ae0fc8072019623d9b822d25a7ce08cdf65cce7265b1771f4beb9,non
I01-README,README.md,drive_quarantine/README.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,af30548e647bc4e7489895edf6488fb79ba9aca75849bb9c33e6eeb1d74e972b,non
I01-drive-quarantine-manifest,drive_quarantine_manifest.csv,drive_quarantine_manifest.csv,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,3e70abdb71f6c70ca6c3836abf311842acf4c9bbf097f22fc51042bcb32411da,non
I01-drive-remaining-action-plan,drive_remaining_action_plan.md,drive_remaining_action_plan.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3f9cba28afefbdb9a3aa758b6bc09c9b11a55d6ea001987c0d94ad1c6342ea9e,non
I01-drive-sources,drive_sources.yml,drive_sources.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,37702dbca1abaa37c500e6797fe1c8eb317fff87916aad6eb5656185550c9368,non
I01-evaluation-bareme-alignment-report,evaluation_bareme_alignment_report.md,evaluation_bareme_alignment_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,93e4b6b696da9938b8ff9ce49f45e264bd90260be7bb990229af25e35e1a9136,non
I01-human-review-register,human_review_register.csv,human_review_register.csv,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,d2b94f3e767cf2b2209ccacb48620becc1e3c78c66b4e67e3e3fc663e13f3a3c,non
I01-human-review-wave-1-plan,human_review_wave_1_plan.md,human_review_wave_1_plan.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0c2454b4bbe696e46bd72f44463bd1a215fee55d7b8004c31d43c4a060a108cd,non
I01-README,README.md,latex/README.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,f317d2cefa5d1bb87aa745306ff64efe5270011e6fb71c6a3da133abd883d825,non
I01-build,build.sh,latex/build.sh,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,33aca887aa77e19135ed926dd201900f6285c515f3a573599863c8465638e4bc,non
I01-learning-objectives-assessed-report,learning_objectives_assessed_report.md,learning_objectives_assessed_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,a702d23e4d97d4eab705ba011d515428385a99d7c359f61490f044b456046a81,non
I01-missing-capabilities,missing_capabilities.md,missing_capabilities.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3d2bf99949e15e42b519f6c98d93066fee55a8792e3808aede98840cebef9a5e,non
I01-missing-documents-register-v2,missing_documents_register_v2.md,missing_documents_register_v2.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,7b815c3055f7152ebd5906ea5b311f8b3ed96c1b3a9d336a194e38b54d1a76c1,non
I01-missing-sequence-resources-register,missing_sequence_resources_register.md,missing_sequence_resources_register.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,c3cf35e8e5a3e2885f6d43ee38d22472829143122f12dc7a06dc187c6ffda1df,non
I01-pilot-scope,pilot_scope.yml,pilot_scope.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,799a9e7cb8c97f42885e0ba913cffab6b8acc6312ce7dff1a5bfea2ae839cf86,non
I01-privacy-allowlist,privacy_allowlist.yml,privacy_allowlist.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,5004307dc98bcc32dec95a391485c529fda99c7c7f8ccff3b562cebfd245ed8b,non
I01-program-capacity-evidence-depth-report,program_capacity_evidence_depth_report.md,program_capacity_evidence_depth_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,7045ab307892eaf45dc21d8eaf82e7f3c006f9e4aa87750e6fa388814d57a9f4,non
I01-programme-matrix-premiere,programme_matrix_premiere.md,programme_matrix_premiere.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,56b21c5a38bd676c69340056ad6123e7f2fae8118489c4ac4790de0baf623386,non
I01-programme-matrix-terminale,programme_matrix_terminale.md,programme_matrix_terminale.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,179aa417fa0ad5cd00377dc1682e8dd6d8cbfa18f804ea17ddfc65a647ea06ca,non
I01-progression-audit,progression_audit.md,progression_audit.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,ae49765b8ea0b8fbfb86df6665c8735e44a059dd1daa0225441e5e1e1fae8408,non
I01-project-plan-premiere,project_plan_premiere.md,project_plan_premiere.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,27171774e7758eb0cc9e996a842ecdd52f5c865db3219c7eb7fbdeda8c37b65e,non
I01-project-plan-terminale,project_plan_terminale.md,project_plan_terminale.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,4ce63be1e17a1c8cd5773d018e8e42c25ca8036fbf9ca7b4671e3f00160411f0,non
I01-pyproject,pyproject.toml,pyproject.toml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,83202a84a7f56bc328c7a13b558275264ce0b41447bee37b7e9a5cde01940e08,non
I01-qa-debt-register,qa_debt_register.md,qa_debt_register.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,541507146c340351b59c388fce2add9c55562dbcb99f30419ad1d50fb54b7c22,non
I01-qa-gate-policy,qa_gate_policy.md,qa_gate_policy.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,26d1f429a2f4a6e23364ac82042e9f17b0777efbfd55b61a899dd25062e43b4e,non
I01-qa-report,qa_report.md,qa_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,25c48f31a0bd89b2877362ffd80ac8ea4dd3baa2db3a129b3c8e0217964d27f5,non
I01-rag-coherence-report,rag_coherence_report.md,rag_coherence_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3920853db04dc9a55db9515c7c4402f4a6eb47a7bbdfebeabc8d619b7b646c4f,non
I01-rag-config.example,rag_config.example.yml,rag_config.example.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,d7ba3f529bdd5f1ec989a26bc52e8b273cbd9a576864013352ac9ec67afed3ea,non
I01-rag-connection,rag_connection.md,rag_connection.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,acb3356620f67391292a6c9f01ea2befbadf9bae69d1c6ba6e4245ccae983b66,non
I01-rag-server-fix-plan,rag_server_fix_plan.md,rag_server_fix_plan.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3a7c89420964220e7f7bb442173e624103758adca34459dfdcb5b99515c36c01,non
I01-rag-timeout-diagnostic,rag_timeout_diagnostic.md,rag_timeout_diagnostic.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,6db42450e11c1521758e8b70edf6b805e583987117e1345f75d17b115d715f06,non
I01-METHODE-PRODUCTION-REELLE,METHODE_PRODUCTION_REELLE.md,reports/METHODE_PRODUCTION_REELLE.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,fd45bdcbe8db4d7ea3740acdfe4992ed67e8be702648f10bfa2e26df1c2a39b7,non
I01-alignment-known-failures,alignment_known_failures.yml,reports/alignment_known_failures.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,d6d8e1d5b6979b739f912fdc4583bdf198a8ed78119512cc68279096af16a729,non
I01-audit-03-07-26,audit_03_07_26.md,reports/audit_03_07_26.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,bbf0941399341b042c735893d4c849cff43e0826aa4ce955e1fd33d06b536386,non
I01-corrective2-report,corrective2_report.md,reports/closure2/corrective2_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,1ab5796a1141455576f3c0b7370d7c3e0273acb003b3e8725433ddc83830808e,non
I01-corrective3-report,corrective3_report.md,reports/closure2/corrective3_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0ccf5159d07a65c70a34968b542fbc12fda5b295203e822bd2c1302b09d2c296,non
I01-corrective-report,corrective_report.md,reports/closure2/corrective_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3d2600c9a54d6a1959e4db183c85edf8810f146c7561fea776066a5141bf754a,non
I01-phaseA-closure-report,phaseA_closure_report.md,reports/closure2/phaseA_closure_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,28880bee944e38d014c085243d3422ce4f4ebb0ca17d3fad0de66baf3e67107c,non
I01-phaseA-final-report,phaseA_final_report.md,reports/closure2/phaseA_final_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,01b7694bc540d34772da524bcece0300362fa95c01f42356d70d877afa1e132c,non
I01-rag-embedding-parity-report,rag_embedding_parity_report.md,reports/closure2/rag_embedding_parity_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,4800d096de23f373b976b2d198990c5200c4190ff99499073e9074fe66bcf838,non
I01-rag-prod-cutover-executed-report,rag_prod_cutover_executed_report.md,reports/closure2/rag_prod_cutover_executed_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,e51ec13979b8fe5a6f06b75455be7f750c5aa259e2c33224037b4828dfe07a4d,non
I01-rag-prod-cutover-runbook,rag_prod_cutover_runbook.md,reports/closure2/rag_prod_cutover_runbook.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,ffcd1589e6e58f5f3732702b0b7f7c59b84792ed6593540fbdaab8527f53a171,non
I01-rag-state-of-truth,rag_state_of_truth.md,reports/closure2/rag_state_of_truth.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,9510bc3377dc7e74d6877b3eb1eeece21a56749736145b6ffe0823f73772254a,non
I01-rag-target-architecture,rag_target_architecture.md,reports/closure2/rag_target_architecture.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,b4f1edcaeccb7056cb7ee95a8eae0e691336d15f786a23d736897431624747f9,non
I01-rag-v2-cutover-STATE,rag_v2_cutover_STATE.md,reports/closure2/rag_v2_cutover_STATE.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,7c42a60b7d4b410514981a1d93b5bae57055f0e6ce5a180b492e5eea6e2a85fc,non
I01-rag-v2-cutover-report,rag_v2_cutover_report.md,reports/closure2/rag_v2_cutover_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,9ca5078b9b8a5bfcbc2361333cfb81f2a5612230e6cce52ad46f0e5cc0f312f7,non
I01-rag-v2-rebuilt-report,rag_v2_rebuilt_report.md,reports/closure2/rag_v2_rebuilt_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,c5545433123e2b3255a60e1534060714924a935397e9e4b3c8d65896ea006b0d,non
I01-rag-v2-versioned-report,rag_v2_versioned_report.md,reports/closure2/rag_v2_versioned_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,7cc27d3c1e89c4a9e5b40eddbd8c25cd09021f495dbf35b7cd64e4015276322e,non
I01-drive-enrichment-report,drive_enrichment_report.md,reports/drive_enrichment_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,6b5bcadab2827d4180c408994d15184c6b78bd5730b77ab56ffdbaded2919405,non
I01-excellence-editorial-review-nsi,excellence_editorial_review_nsi.md,reports/excellence_editorial_review_nsi.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,cb622987b1fecc1f52d63295abcabad83467f133f3243729a4f6c15fba8bcd1d,non
I01-excellence-remediation-progress,excellence_remediation_progress.md,reports/excellence_remediation_progress.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,6bee1db6124dde545d91fce34c5493b7771b0cdf328a447f010df6d8580457e5,non
